id,dexNum,classification,findingIds,currentEvolutionFields,pokeApiRuleIds,bulbapedia,serebiiCachedSpeciesPages
abomasnow-f,460,has_findings,E25,"{""evolvesFrom"":""snover"",""evoFromLevel"":40}",228,https://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon),https://www.serebii.net/pokedex-dp/460.shtml;https://www.serebii.net/pokedex-sm/460.shtml;https://www.serebii.net/pokedex-swsh/abomasnow/;https://www.serebii.net/pokedex-xy/460.shtml
abomasnow-mega,460,transformation_not_species_evolution,,{},228,https://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon),https://www.serebii.net/pokedex-dp/460.shtml;https://www.serebii.net/pokedex-sm/460.shtml;https://www.serebii.net/pokedex-swsh/abomasnow/;https://www.serebii.net/pokedex-xy/460.shtml
abomasnow,460,baseline_match_not_all_games_verified,,"{""evolvesFrom"":""snover"",""evoFromLevel"":40}",228,https://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon),https://www.serebii.net/pokedex-dp/460.shtml;https://www.serebii.net/pokedex-sm/460.shtml;https://www.serebii.net/pokedex-swsh/abomasnow/;https://www.serebii.net/pokedex-xy/460.shtml
abra,63,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),https://www.serebii.net/pokedex-bw/063.shtml
absol-mega-z,359,transformation_not_species_evolution,,{},,https://bulbapedia.bulbagarden.net/wiki/Absol_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/359.shtml;https://www.serebii.net/pokedex-sv/absol/;https://www.serebii.net/pokedex-swsh/absol/;https://www.serebii.net/pokedex-xy/359.shtml
absol-mega,359,transformation_not_species_evolution,,{},,https://bulbapedia.bulbagarden.net/wiki/Absol_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/359.shtml;https://www.serebii.net/pokedex-sv/absol/;https://www.serebii.net/pokedex-swsh/absol/;https://www.serebii.net/pokedex-xy/359.shtml
absol,359,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Absol_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/359.shtml;https://www.serebii.net/pokedex-sv/absol/;https://www.serebii.net/pokedex-swsh/absol/;https://www.serebii.net/pokedex-xy/359.shtml
accelgor,617,has_findings,E01;E27,"{""evolvesFrom"":""shelmet"",""evoFromCondition"":""with a Karrablast""}",312,https://bulbapedia.bulbagarden.net/wiki/Accelgor_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/617.shtml
aegislash-blade,681,transformation_not_species_evolution,,{},348,https://bulbapedia.bulbagarden.net/wiki/Aegislash_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/681.shtml;https://www.serebii.net/pokedex-swsh/aegislash/;https://www.serebii.net/pokedex-xy/681.shtml
aegislash,681,baseline_match_not_all_games_verified,,"{""evolvesFrom"":""doublade"",""evoFromItem"":""duskstone""}",348,https://bulbapedia.bulbagarden.net/wiki/Aegislash_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/681.shtml;https://www.serebii.net/pokedex-swsh/aegislash/;https://www.serebii.net/pokedex-xy/681.shtml
aerodactyl-mega,142,transformation_not_species_evolution,,{},,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/142.shtml;https://www.serebii.net/pokedex-swsh/aerodactyl/;https://www.serebii.net/pokedex-xy/142.shtml
aerodactyl,142,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/142.shtml;https://www.serebii.net/pokedex-swsh/aerodactyl/;https://www.serebii.net/pokedex-xy/142.shtml
aggron-mega,306,transformation_not_species_evolution,,{},161,https://bulbapedia.bulbagarden.net/wiki/Aggron_(Pok%C3%A9mon),https://www.serebii.net/pokedex-bw/306.shtml;https://www.serebii.net/pokedex-sm/306.shtml;https://www.serebii.net/pokedex-swsh/aggron/;https://www.serebii.net/pokedex-xy/306.shtml
aggron,306,baseline_match_not_all_games_verified,,"{""evolvesFrom"":""lairon"",""evoFromLevel"":42}",161,https://bulbapedia.bulbagarden.net/wiki/Aggron_(Pok%C3%A9mon),https://www.serebii.net/pokedex-bw/306.shtml;https://www.serebii.net/pokedex-sm/306.shtml;https://www.serebii.net/pokedex-swsh/aggron/;https://www.serebii.net/pokedex-xy/306.shtml
aipom-f,190,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon),https://www.serebii.net/pokedex-rs/190.shtml;https://www.serebii.net/pokedex-sm/190.shtml;https://www.serebii.net/pokedex-sv/aipom/
aipom,190,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon),https://www.serebii.net/pokedex-rs/190.shtml;https://www.serebii.net/pokedex-sm/190.shtml;https://www.serebii.net/pokedex-sv/aipom/
alakazam-f,65,has_findings,E01;E14;E25;E30,"{""evolvesFrom"":""kadabra""}",41,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),https://www.serebii.net/pokedex-bw/065.shtml;https://www.serebii.net/pokedex-sm/065.shtml;https://www.serebii.net/pokedex-swsh/alakazam/;https://www.serebii.net/pokedex-xy/065.shtml
alakazam-mega,65,transformation_not_species_evolution,,{},41,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),https://www.serebii.net/pokedex-bw/065.shtml;https://www.serebii.net/pokedex-sm/065.shtml;https://www.serebii.net/pokedex-swsh/alakazam/;https://www.serebii.net/pokedex-xy/065.shtml
alakazam,65,has_findings,E01;E14;E30,"{""evolvesFrom"":""kadabra""}",41,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),https://www.serebii.net/pokedex-bw/065.shtml;https://www.serebii.net/pokedex-sm/065.shtml;https://www.serebii.net/pokedex-swsh/alakazam/;https://www.serebii.net/pokedex-xy/065.shtml
alcremie-caramel-swirl-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-caramel-swirl-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-caramel-swirl-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-caramel-swirl-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-caramel-swirl-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-caramel-swirl-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-caramel-swirl-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-gmax,869,transformation_not_species_evolution,,{},441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-lemon-cream-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-lemon-cream-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-lemon-cream-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-lemon-cream-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
