id,dexNum,methodCount,classification,unknownScopeMethodCount
"bulbasaur","1","0","single_record","0"
"ivysaur","2","0","single_record","0"
"venusaur","3","5","modeled","0"
"venusaur-f","3","5","modeled","0"
"venusaur-gmax","3","1","modeled","0"
"venusaur-mega","3","3","modeled","0"
"charmander","4","0","single_record","0"
"charmeleon","5","0","single_record","0"
"charizard","6","8","modeled","0"
"charizard-gmax","6","1","modeled","0"
"charizard-mega-x","6","3","modeled","0"
"charizard-mega-y","6","3","modeled","0"
"squirtle","7","0","single_record","0"
"wartortle","8","0","single_record","0"
"blastoise","9","5","modeled","0"
"blastoise-gmax","9","1","modeled","0"
"blastoise-mega","9","3","modeled","0"
"caterpie","10","0","single_record","0"
"metapod","11","0","single_record","0"
"butterfree","12","2","modeled","0"
"butterfree-f","12","2","modeled","0"
"butterfree-gmax","12","1","modeled","0"
"weedle","13","0","single_record","0"
"kakuna","14","0","single_record","0"
"beedrill","15","3","modeled","0"
"beedrill-mega","15","3","modeled","0"
"pidgey","16","0","single_record","0"
"pidgeotto","17","0","single_record","0"
"pidgeot","18","3","modeled","0"
"pidgeot-mega","18","3","modeled","0"
"rattata","19","0","classified_fixed","0"
"rattata-alola","19","0","classified_fixed","0"
"rattata-f","19","0","classified_fixed","0"
"raticate","20","0","classified_fixed","0"
"raticate-alola","20","0","classified_fixed","0"
"raticate-f","20","0","classified_fixed","0"
"spearow","21","0","single_record","0"
"fearow","22","0","single_record","0"
"ekans","23","0","single_record","0"
"arbok","24","0","single_record","0"
"pikachu","25","2","modeled","0"
"pikachu-alola","25","0","classified_fixed","0"
"pikachu-f","25","2","modeled","0"
"pikachu-gmax","25","1","modeled","0"
"pikachu-hoenn","25","0","classified_fixed","0"
"pikachu-kalos","25","0","classified_fixed","0"
"pikachu-original","25","0","classified_fixed","0"
"pikachu-partner","25","0","classified_fixed","0"
"pikachu-sinnoh","25","0","classified_fixed","0"
"pikachu-unova","25","0","classified_fixed","0"
"pikachu-world","25","0","classified_fixed","0"
"raichu","26","2","modeled","0"
"raichu-alola","26","0","classified_fixed","0"
"raichu-f","26","2","modeled","0"
"raichu-mega-x","26","1","modeled","0"
"raichu-mega-y","26","1","modeled","0"
"sandshrew","27","0","classified_fixed","0"
"sandshrew-alola","27","0","classified_fixed","0"
"sandslash","28","0","classified_fixed","0"
"sandslash-alola","28","0","classified_fixed","0"
"nidoranf","29","0","single_record","0"
"nidorina","30","0","single_record","0"
"nidoqueen","31","0","single_record","0"
"nidoranm","32","0","single_record","0"
"nidorino","33","0","single_record","0"
"nidoking","34","0","single_record","0"
"clefairy","35","0","single_record","0"
"clefable","36","1","modeled","0"
"clefable-mega","36","1","modeled","0"
"vulpix","37","0","classified_fixed","0"
"vulpix-alola","37","0","classified_fixed","0"
"ninetales","38","0","classified_fixed","0"
"ninetales-alola","38","0","classified_fixed","0"
"jigglypuff","39","0","single_record","0"
"wigglytuff","40","0","single_record","0"
"zubat","41","0","classified_fixed","0"
"zubat-f","41","0","classified_fixed","0"
"golbat","42","0","classified_fixed","0"
"golbat-f","42","0","classified_fixed","0"
"oddish","43","0","single_record","0"
"gloom","44","0","classified_fixed","0"
"gloom-f","44","0","classified_fixed","0"
"vileplume","45","0","classified_fixed","0"
"vileplume-f","45","0","classified_fixed","0"
"paras","46","0","single_record","0"
"parasect","47","0","single_record","0"
"venonat","48","0","single_record","0"
"venomoth","49","0","single_record","0"
"diglett","50","0","classified_fixed","0"
