species,url,cacheSha256,hasFormDataSection
"Drednaw","https://bulbapedia.bulbagarden.net/wiki/Drednaw_(Pok%C3%A9mon)","ee6b57ff5da3ad9ae21a9e4e3735c0ff49d254934df934d46e294d0d26e38503","true"
"Torchic","https://bulbapedia.bulbagarden.net/wiki/Torchic_(Pok%C3%A9mon)","c120d2368020ba1767dcf2a50df5cc14d98862cd6a006175ee74ccca0a4ed847","false"
"Skarmory","https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon)","7c93aa2d485cd91f191207e02e40a31cc8dd8100ad588686e0673c2a847d3f66","true"
"Xerneas","https://bulbapedia.bulbagarden.net/wiki/Xerneas_(Pok%C3%A9mon)","177aae8521e289e0803d467dee375697423e18d7e116aa76ccf4cfa9c5fc6c26","true"
"Ninetales","https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)","215da578e65d6fefbec18bc3045131b99d69d4fabcfb9a7f26f110b4d8e69e6d","false"
"Luxray","https://bulbapedia.bulbagarden.net/wiki/Luxray_(Pok%C3%A9mon)","c9ddb3f6d352619db4cd7ee4a6a7aa73f262b4324e374662fe0fd447b8cc7287","false"
"Steelix","https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon)","86d466db54c7d7b0f3c4f93a580614b3b316ecd1b2d604237b9482f1514445b9","true"
"Beautifly","https://bulbapedia.bulbagarden.net/wiki/Beautifly_(Pok%C3%A9mon)","adea93118b6fddf5bdcfbc748199055c7c5a3881e82fec3cf3bb77010259c815","false"
"Pachirisu","https://bulbapedia.bulbagarden.net/wiki/Pachirisu_(Pok%C3%A9mon)","307c7f0b3627d67311496f09111bb89ab1eaef76f5822f2a3ccb7016e45589ac","false"
"Graveler","https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon)","ddb46c1a931197cb31cfbd759b7e9447029df087333bd037d264ea41b936c1f7","false"
"Absol","https://bulbapedia.bulbagarden.net/wiki/Absol_(Pok%C3%A9mon)","36646d54746f9343b7ca31438b3584fa13e66cfbabd7d387d2d5f481d4d9f364","true"
"Dudunsparce","https://bulbapedia.bulbagarden.net/wiki/Dudunsparce_(Pok%C3%A9mon)","e45a2ea8d819bea158f7941ee285793db2bcb8f249751226485c0ed18986badc","true"
"Dodrio","https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon)","06495a89ac6331a62c4027118e66b0f355d68e8a5fd6d11c4227a4ed4d7cb48a","false"
"Exeggutor","https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon)","d5b4907233ee490b8182a056a073f8fe0b1fec99e818b411f37461056a7bce9c","false"
"Staraptor","https://bulbapedia.bulbagarden.net/wiki/Staraptor_(Pok%C3%A9mon)","22ea7f1a34674439c5dbc460f5359fd73aefcd272c79cd0d6b884ebd4908f8d5","true"
"Rayquaza","https://bulbapedia.bulbagarden.net/wiki/Rayquaza_(Pok%C3%A9mon)","550ad070d453c0bdb63c101725f56b70d1fab405192dc8ce29906899138f7b00","true"
"Silvally","https://bulbapedia.bulbagarden.net/wiki/Silvally_(Pok%C3%A9mon)","a0d6af93314a9a2b1de3fb1bac4f7a23fb9f6ba56e55e69b01028b31cd1b2612","true"
"Starly","https://bulbapedia.bulbagarden.net/wiki/Starly_(Pok%C3%A9mon)","da33b65eaf391925e8a255baab259613f59410861bb911c6cdf5a96f80396cdb","false"
"Gligar","https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon)","11faa7bedd0b3ff9e3a6b8a08acf68aef96228463df49118488651502934f569","false"
"Golem","https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon)","c25fa05eee0984a490439d22ecc111bae3b0c41709c3a40c47edd3b793db0521","false"
"Slowpoke","https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon)","ac48ef614dd187afc2d502d9cc4084c3a7d41414984a1e351928503e02ea9223","false"
"Meloetta","https://bulbapedia.bulbagarden.net/wiki/Meloetta_(Pok%C3%A9mon)","decf35f34f5c98d1f137f6f11da8b762da41cd749e4e4f167a0fd2d9441bdf67","true"
"Chimecho","https://bulbapedia.bulbagarden.net/wiki/Chimecho_(Pok%C3%A9mon)","7211d071c8ad46cb3f858c60a21f5ae7a535f0282108d30bb1269f2abef4ac0c","true"
"Florges","https://bulbapedia.bulbagarden.net/wiki/Florges_(Pok%C3%A9mon)","bda5a32af683f506ecd64d11b317cc124fa37a59189c11ade1bcdecf7f84fc9e","true"
"Baxcalibur","https://bulbapedia.bulbagarden.net/wiki/Baxcalibur_(Pok%C3%A9mon)","444a18268294378edd8a310ec1dead78573ca0083ee6f9530071994f816aed55","true"
"Darkrai","https://bulbapedia.bulbagarden.net/wiki/Darkrai_(Pok%C3%A9mon)","ec4df1718dab26885461e5c988b84ae2c17e9d771c9b0c082c388f726f25538b","true"
"Sneasel","https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon)","14dcfde39dc211127bf9c9adada4d85d4cc9d6a1f7e0af74bb38f76583ae2244","false"
"Polteageist","https://bulbapedia.bulbagarden.net/wiki/Polteageist_(Pok%C3%A9mon)","c7eee6393fc213ef803236b72313d04d9c712f8742e30f1039a26ceba46d8a07","true"
"Hippopotas","https://bulbapedia.bulbagarden.net/wiki/Hippopotas_(Pok%C3%A9mon)","07ad6df8b02e4852f2a7f26531a3c6f9ebd484920cb2f815f986e99347642fe3","false"
"Gabite","https://bulbapedia.bulbagarden.net/wiki/Gabite_(Pok%C3%A9mon)","41233f8ac3d8765329ce43c03db1f9538946d9f59a3443e2c1ba61f54ff68eaf","false"
"Ampharos","https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon)","92874fe7a74e71f44a98ef2b82bd9fe9dff71704e9007fadb09627f420e9a6b3","true"
"Hatterene","https://bulbapedia.bulbagarden.net/wiki/Hatterene_(Pok%C3%A9mon)","2137323689328ea5ab2530604171d66bf9efebc355f6ba44846d4f6fc1e72d1f","true"
"Palafin","https://bulbapedia.bulbagarden.net/wiki/Palafin_(Pok%C3%A9mon)","762f0e9f568760e58b74516384bbc4cfce37bc7f33233f9890532a69f1dedc5a","true"
"Oinkologne","https://bulbapedia.bulbagarden.net/wiki/Oinkologne_(Pok%C3%A9mon)","56d581ee086a0e5f8adc10abfab98a9b15cecedb3b13c9b384bf7d336bf9f30c","false"
"Glimmora","https://bulbapedia.bulbagarden.net/wiki/Glimmora_(Pok%C3%A9mon)","96b679bd3f98ede6886005b402820d99619f1bece0ffcb8e71052920dd320bb7","true"
"Alcremie","https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon)","ea39398dff8985e7e43595750eb93eb0cfaad6102489409909c58447f9245da7","true"
"Machamp","https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)","214c62e8ad2bee6094011686752d4f52ecddd560cdbd044a44ac15364a2596e9","true"
"Lilligant","https://bulbapedia.bulbagarden.net/wiki/Lilligant_(Pok%C3%A9mon)","be35f80b03ac9b29b36bc153f22e351bf79923e45123cef82c053aafa655309b","false"
"Meowth","https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)","792c2a218ed13d03bb19d04f99764eb0c71f60c589a4b00678686e7a53afe4f3","true"
"Heracross","https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon)","0c6f6754d5dd4bee0c8bbb1074302fffcd4100f9d397a50e2636e84285c2b843","true"
"Altaria","https://bulbapedia.bulbagarden.net/wiki/Altaria_(Pok%C3%A9mon)","88dc6c025bf426a07783d8bee67ccfbdead2e80b4557661e222ee9f5235c840c","true"
"Magearna","https://bulbapedia.bulbagarden.net/wiki/Magearna_(Pok%C3%A9mon)","1fa7a221fc2b9e30376ae1d753d8267bbbd3bf7f4cb2ba36005e55ac5bc82894","true"
"Rapidash","https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon)","f3412ada52ef302d12a62fe62b266ad053323f37d76363979af90bb0614c1f28","false"
"Darmanitan","https://bulbapedia.bulbagarden.net/wiki/Darmanitan_(Pok%C3%A9mon)","560f05889a198887659f8af703fe7704c9685dc7dfa7f38a4b87d2227082c22c","true"
"Delphox","https://bulbapedia.bulbagarden.net/wiki/Delphox_(Pok%C3%A9mon)","0c74b9e2b80025c9b80dd68186aef54a9c263d8f069de7b338a61ba7a1d1d9cc","true"
"Melmetal","https://bulbapedia.bulbagarden.net/wiki/Melmetal_(Pok%C3%A9mon)","5684b4e8a815c2f0fa4681e1f7e9d4df9ac1fb795b5bc47dfe8706317f2faf4d","true"
"Arcanine","https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)","5d1838a5e7494198682027bd7badf05f837df9022db1c9dfddcfbdaacb3d9457","false"
"Dialga","https://bulbapedia.bulbagarden.net/wiki/Dialga_(Pok%C3%A9mon)","53f7d3a84eee9792d8715509beb9dc58253e0bc179e5fe34486b5a8f0ec962ef","true"
"Feraligatr","https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon)","90138588d4374f82768dbdf31b71863b4140e14c26d3ba7094620adfb9f8039a","true"
"Kricketune","https://bulbapedia.bulbagarden.net/wiki/Kricketune_(Pok%C3%A9mon)","1d57798b008be298cf688dfa42d5e04e734aeb53d533ed4122d271a086137977","false"
"Hoopa","https://bulbapedia.bulbagarden.net/wiki/Hoopa_(Pok%C3%A9mon)","b155c968a7314c65f99d7d028dedc953f718bbe205cc93b1b3933828d6725b8c","true"
"Yamask","https://bulbapedia.bulbagarden.net/wiki/Yamask_(Pok%C3%A9mon)","4a8f6fb7282124ac6d24a5f75009d5c802e89590d1aaf20af9381653bec4185a","false"
"Kangaskhan","https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon)","76588a5ced190d63dcc94bb0ff1d8d95b1673a6eaa0a54d1d7dffaa64358208c","true"
"Gulpin","https://bulbapedia.bulbagarden.net/wiki/Gulpin_(Pok%C3%A9mon)","95643f44fcdf5d548747be23b2cb99f8015d2e485038669aceb16ae56ac328fa","false"
"Mimikyu","https://bulbapedia.bulbagarden.net/wiki/Mimikyu_(Pok%C3%A9mon)","c094f1ea45d1ad356891704dda86174f3ae23c03655377ca0281581ec39bd3a7","true"
"Pikachu","https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)","cfa022775a560b666ab42c1faedf04c374910ff155c1738dd3afb3d91eb3b514","true"
"Tatsugiri","https://bulbapedia.bulbagarden.net/wiki/Tatsugiri_(Pok%C3%A9mon)","ed22b514432810de281524972eca76c217edd533e24b78078be531491e7f9aa1","true"
"Slowbro","https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon)","237a68b5afe92222b14cfd127357598d2831b107910d9cf189bf03690378b958","true"
"Greninja","https://bulbapedia.bulbagarden.net/wiki/Greninja_(Pok%C3%A9mon)","7bd0593e58f97eb0cea27051fed938eef9e4433f5becf63658029cf922e23a66","true"
"Weezing","https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon)","25ce4ce9c822d54339559214935a0f0efa008db5b92f281dbeb5c407b18aece9","false"
"Orbeetle","https://bulbapedia.bulbagarden.net/wiki/Orbeetle_(Pok%C3%A9mon)","d8dcd6afcf7985a5c9040bacb6fab6a432045edfa02402208a87969484ac98bc","true"
"Growlithe","https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)","f66266c82833a1afec1a982e294bf3f2d3692df5ccce8ea38f0d4b1c7d592fc8","false"
"Gallade","https://bulbapedia.bulbagarden.net/wiki/Gallade_(Pok%C3%A9mon)","eeca9648c398b45355a9765dab86eaf7fd19bb791675c2fc8314b5d0e9316d5c","true"
"Eelektross","https://bulbapedia.bulbagarden.net/wiki/Eelektross_(Pok%C3%A9mon)","992c865e56d6c6b1323d30d1a4584679b5a862a40f8e956afd0781a2a74b72dd","true"
"Donphan","https://bulbapedia.bulbagarden.net/wiki/Donphan_(Pok%C3%A9mon)","0359c4fe945ca42c62a15d36ce3be5a410a689a96a4f8b058b1b88bb1331059f","false"
